;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;vitamin_a;vitamin_b12;vitamin_c;vitamin_d;vitamin_e;calcium;phosphorous;potassium;zink;protein;carbohydrate;fiber;sugars
36;Puddings, instant, dry mix, banana;100.0;367.0;0.6;0.1;0.0;1499.0;0.0;0.01;0.0;0.0;0.0;6.0;804.0;15.0;0.04;0.0;92.7;0.0;76.57
37;ARCHWAY Home Style Cookies, Chocolate Chip Ice Box;100.0;497.0;24.0;8.1;13.0;270.0;16.0;0.0;0.0;0.0;0.0;14.0;0.0;127.0;0.0;4.28;65.02;2.0;34.06
38;Lamb, raw, Intermuscular fat, imported, New Zealand;100.0;640.0;69.0;31.0;75.0;34.0;153.0;0.45;0.0;10.0;0.84;5.0;61.0;119.0;0.87;4.63;1.26;0.0;0.0
39;CAMPBELL'S Homestyle Butternut Squash Bisque;100.0;45.0;1.2;0.8;4.0;265.0;204.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.41;7.76;0.4;4.9
40;"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder steak";100.0;186.0;7.3;3.1;81.0;67.0;19.0;3.27;0.0;5.0;0.11;12.0;245.0;367.0;7.89;28.22;0.0;0.0;0.0
41;Peaches, uncooked, sulfured, dried;100.0;239.0;0.8;0.1;0.0;7.0;2163.0;0.0;4.8;0.0;0.19;28.0;119.0;996.0;0.57;3.61;61.33;8.2;41.74
42;PREGO Pasta, ready-to-serve, Chunky Garden Mushroom Supreme Italian Sauce;100.0;69.0;2.3;0.4;0.0;354.0;385.0;0.0;1.8;0.0;0.0;0.0;0.0;354.0;0.0;1.54;10.0;2.3;7.69
43;Sausage, hot, beef with chicken, Polish;100.0;259.0;19.0;8.0;66.0;1540.0;0.0;0.98;0.0;0.0;0.0;12.0;136.0;237.0;1.93;17.6;3.6;0.0;0.0
44;Soup, Chinese restaurant, egg drop;100.0;27.0;0.6;0.2;23.0;370.0;89.0;0.03;6.5;6.0;0.13;7.0;15.0;22.0;0.09;1.16;4.29;0.4;0.09
45;"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib";100.0;323.0;25.0;10.0;83.0;64.0;0.0;2.9;0.0;0.0;0.0;13.0;185.0;328.0;5.0;22.76;0.0;0.0;0.0
46;Beans, without salt, drained, boiled, cooked, sprouted, mature seeds, navy;100.0;78.0;0.8;0.1;0.0;14.0;4.0;0.0;17.3;0.0;0.0;16.0;103.0;317.0;0.97;7.07;15.01;0.0;0.0
47;Pickles, sweet (includes bread and butter pickles), cucumber;100.0;91.0;0.4;0.1;0.0;457.0;764.0;0.0;0.7;0.0;0.36;61.0;18.0;100.0;0.12;0.58;21.15;1.0;18.27
48;Beef, raw, Aust. marble score 9, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian;100.0;237.0;18.0;7.4;74.0;62.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;18.87;0.57;0.0;0.0
49;"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, flat half, brisket";100.0;221.0;9.2;3.6;92.0;52.0;0.0;2.62;0.0;0.0;0.44;17.0;191.0;254.0;7.23;32.21;0.0;0.0;0.0
50;Beef, pan-fried, cooked, brain, variety meats and by-products;100.0;196.0;16.0;3.7;1995.0;158.0;0.0;15.2;3.3;0.0;0.0;9.0;386.0;354.0;1.35;12.57;0.0;0.0;0.0
51;Pork, pan-broil, heated, separable lean only, boneless, slice, ham and water product, cured;100.0;123.0;5.1;1.5;45.0;1390.0;44.0;0.44;0.0;34.0;0.12;8.0;240.0;272.0;1.64;15.09;4.69;0.0;4.69
52;Restaurant, sweet and sour pork, Chinese;100.0;270.0;16.0;2.7;24.0;304.0;553.0;0.19;2.3;0.0;0.89;46.0;133.0;152.0;1.07;8.91;23.34;1.0;10.34
53;"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round";100.0;116.0;2.5;1.0;62.0;50.0;7.0;2.07;0.0;1.0;0.22;13.0;222.0;312.0;3.38;23.41;0.0;0.0;0.0
54;Beverages, half the caffeine, regular, instant, coffee;100.0;352.0;0.5;0.2;0.0;37.0;0.0;0.0;0.0;0.0;0.0;141.0;303.0;3535.0;0.35;14.42;73.18;0.0;0.0
55;"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck";100.0;216.0;10.0;4.0;104.0;65.0;6.0;3.39;0.0;5.0;0.08;14.0;206.0;306.0;11.32;30.54;0.0;0.0;0.0
56;Cereals ready-to-eat, Hearty Raisin, OATMEAL CRISP, GENERAL MILLS;100.0;372.0;3.8;0.8;0.0;195.0;0.0;0.0;0.4;0.0;0.39;32.0;161.0;355.0;1.5;8.5;80.8;7.5;27.29
57;KELLOGG'S, Caramel, Pancakes, CINNABON;100.0;255.0;7.1;1.2;14.0;456.0;952.0;1.1;0.0;0.0;0.0;57.0;190.0;48.0;0.0;5.0;43.4;1.0;15.6
